Type,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd,P,REAL250004627335,ZINC000949397098,ZINC000949397098,ZINC000359659274,REAL250003774401,REAL250003774401,ZINC001365141527,FRESH00004674769,FRESH00004674769,ZINC001240776402,ZINC000183202483,ZINC000183202483,ZINC000904346960,REAL250003958539,REAL250003958539,REAL300019621104,REAL250001448407,REAL250001448407,ZINC001156036512,REAL300007260658,REAL300007260658,Empty,Empty,Empty
cmpd_abbrev,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd_abbrev,A,R7335,R7335,Z7098,Z9274,Z9274,R4401,Z1527,Z1527,F4769,Z6402,Z6402,Z2483,Z6960,Z6960,R8539,R1104,R1104,R8407,Z6512,Z6512,R0658,Empty,Empty,Empty
cmpd_abbrev,B,R7335,R7335,Z7098,Z9274,Z9274,R4401,Z1527,Z1527,F4769,Z6402,Z6402,Z2483,Z6960,Z6960,R8539,R1104,R1104,R8407,Z6512,Z6512,R0658,Empty,Empty,Empty
cmpd_abbrev,C,R7335,R7335,Z7098,Z9274,Z9274,R4401,Z1527,Z1527,F4769,Z6402,Z6402,Z2483,Z6960,Z6960,R8539,R1104,R1104,R8407,Z6512,Z6512,R0658,Empty,Empty,Empty
cmpd_abbrev,D,R7335,R7335,Z7098,Z9274,Z9274,R4401,Z1527,Z1527,F4769,Z6402,Z6402,Z2483,Z6960,Z6960,R8539,R1104,R1104,R8407,Z6512,Z6512,R0658,Empty,Empty,Empty
cmpd_abbrev,E,R7335,R7335,Z7098,Z9274,Z9274,R4401,Z1527,Z1527,F4769,Z6402,Z6402,Z2483,Z6960,Z6960,R8539,R1104,R1104,R8407,Z6512,Z6512,R0658,Empty,Empty,Empty
cmpd_abbrev,F,R7335,R7335,Z7098,Z9274,Z9274,R4401,Z1527,Z1527,F4769,Z6402,Z6402,Z2483,Z6960,Z6960,R8539,R1104,R1104,R8407,Z6512,Z6512,R0658,Empty,Empty,Empty
cmpd_abbrev,G,R7335,R7335,Z7098,Z9274,Z9274,R4401,Z1527,Z1527,F4769,Z6402,Z6402,Z2483,Z6960,Z6960,R8539,R1104,R1104,R8407,Z6512,Z6512,R0658,Empty,Empty,Empty
cmpd_abbrev,H,R7335,R7335,Z7098,Z9274,Z9274,R4401,Z1527,Z1527,F4769,Z6402,Z6402,Z2483,Z6960,Z6960,R8539,R1104,R1104,R8407,Z6512,Z6512,R0658,Empty,Empty,Empty
cmpd_abbrev,I,R7335,Z7098,Z7098,Z9274,R4401,R4401,Z1527,F4769,F4769,Z6402,Z2483,Z2483,Z6960,R8539,R8539,R1104,R8407,R8407,Z6512,R0658,R0658,Empty,Empty,Empty
cmpd_abbrev,J,R7335,Z7098,Z7098,Z9274,R4401,R4401,Z1527,F4769,F4769,Z6402,Z2483,Z2483,Z6960,R8539,R8539,R1104,R8407,R8407,Z6512,R0658,R0658,Empty,Empty,Empty
cmpd_abbrev,K,R7335,Z7098,Z7098,Z9274,R4401,R4401,Z1527,F4769,F4769,Z6402,Z2483,Z2483,Z6960,R8539,R8539,R1104,R8407,R8407,Z6512,R0658,R0658,Empty,Empty,Empty
cmpd_abbrev,L,R7335,Z7098,Z7098,Z9274,R4401,R4401,Z1527,F4769,F4769,Z6402,Z2483,Z2483,Z6960,R8539,R8539,R1104,R8407,R8407,Z6512,R0658,R0658,Empty,Empty,Empty
cmpd_abbrev,M,R7335,Z7098,Z7098,Z9274,R4401,R4401,Z1527,F4769,F4769,Z6402,Z2483,Z2483,Z6960,R8539,R8539,R1104,R8407,R8407,Z6512,R0658,R0658,Empty,Empty,Empty
