Type,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd,O,REAL250003296134,FRESH00010267028,FRESH00002410346,ZINC001320848619,ZINC000891943247,REAL300016493575,REAL250002155324,ZINC000751938095,ZINC000833624464,REAL250002852032,ZINC001434309614,ZINC001327823432,ZINC001119059028,REAL250001652488,FRESH00020236831,REAL250004627335,ZINC000359659274,ZINC001365141527,ZINC001240776402,ZINC000904346960,REAL300019621104,ZINC001156036512,Empty,Empty
cmpd,P,REAL250003296134,FRESH00010267028,FRESH00002410346,ZINC001320848619,ZINC000891943247,REAL300016493575,REAL250002155324,ZINC000751938095,ZINC000833624464,REAL250002852032,ZINC001434309614,ZINC001327823432,ZINC001119059028,REAL250001652488,FRESH00020236831,REAL250004627335,ZINC000359659274,ZINC001365141527,ZINC001240776402,ZINC000904346960,REAL300019621104,ZINC001156036512,Empty,Empty
cmpd_abbrev,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd_abbrev,A,Z1964,F9046,Z4196,Z8835,F8284,F9192,R8538,Z1747,F4848,R4764,F2804,Z8207,Z1110,R8908,Z4273,Z0063,Z7098,R4401,F4769,Z2483,R8539,R8407,R0658,Empty
cmpd_abbrev,B,Z1964,F9046,Z4196,Z8835,F8284,F9192,R8538,Z1747,F4848,R4764,F2804,Z8207,Z1110,R8908,Z4273,Z0063,Z7098,R4401,F4769,Z2483,R8539,R8407,R0658,Empty
cmpd_abbrev,C,Z1964,F9046,Z4196,Z8835,F8284,F9192,R8538,Z1747,F4848,R4764,F2804,Z8207,Z1110,R8908,Z4273,Z0063,Z7098,R4401,F4769,Z2483,R8539,R8407,R0658,Empty
cmpd_abbrev,D,Z1964,F9046,Z4196,Z8835,F8284,F9192,R8538,Z1747,F4848,R4764,F2804,Z8207,Z1110,R8908,Z4273,Z0063,Z7098,R4401,F4769,Z2483,R8539,R8407,R0658,Empty
cmpd_abbrev,E,Z1964,F9046,Z4196,Z8835,F8284,F9192,R8538,Z1747,F4848,R4764,F2804,Z8207,Z1110,R8908,Z4273,Z0063,Z7098,R4401,F4769,Z2483,R8539,R8407,R0658,Empty
cmpd_abbrev,F,Z1964,F9046,Z4196,Z8835,F8284,F9192,R8538,Z1747,F4848,R4764,F2804,Z8207,Z1110,R8908,Z4273,Z0063,Z7098,R4401,F4769,Z2483,R8539,R8407,R0658,Empty
cmpd_abbrev,G,Z1964,F9046,Z4196,Z8835,F8284,F9192,R8538,Z1747,F4848,R4764,F2804,Z8207,Z1110,R8908,Z4273,Z0063,Z7098,R4401,F4769,Z2483,R8539,R8407,R0658,Empty
cmpd_abbrev,H,Z1964,F9046,Z4196,Z8835,F8284,F9192,R8538,Z1747,F4848,R4764,F2804,Z8207,Z1110,R8908,Z4273,Z0063,Z7098,R4401,F4769,Z2483,R8539,R8407,R0658,Empty
cmpd_abbrev,I,R6134,F7028,F0346,Z8619,Z3247,R3575,R5324,Z8095,Z4464,R2032,Z9614,Z3432,Z9028,R2488,F6831,R7335,Z9274,Z1527,Z6402,Z6960,R1104,Z6512,Empty,Empty
cmpd_abbrev,J,R6134,F7028,F0346,Z8619,Z3247,R3575,R5324,Z8095,Z4464,R2032,Z9614,Z3432,Z9028,R2488,F6831,R7335,Z9274,Z1527,Z6402,Z6960,R1104,Z6512,Empty,Empty
